gene,value
OR4F5,6.13
SAMD11,6.97
KLHL17,7.1
PLEKHN1,5.51
ISG15,6.26
AGRN,9.25
LINC01342,5.22
TTLL10,7.88
B3GALT6,7.39
SCNN1D,5.04
PUSL1,6.32
CPTP,6.89
TAS1R3,4.23
TMEM88B,4.84
VWA1,7.0
ATAD3C,4.31
MIB2,6.08
CALML6,5.84
GABRD,3.68
PRKCZ,9.26
SKI,5.91
SKI; kerlabu,4.96
RER1,10.43
FAM213B,10.61
ACTRT2,5.96
PRDM16,5.6
ARHGEF16,6.16
TPRG1L,10.98
TP73,5.93
CCDC27,5.57
SMIM1,7.0
DFFB,6.14
AJAP1,3.7
KCNAB2,8.23
RNF207,6.91
LINC00337,8.56
HES3,5.33
ESPN,8.9
TAS1R1,4.91
ZBTB48,4.32
PHF13,9.15
THAP3,5.26
CAMTA1,12.85
VAMP3,13.35
PER3,10.76
PARK7,14.28
SLC45A1,4.21
ENO1,11.87
CA6,4.54
H6PD,5.87
SPSB1,10.3
SLC25A33,9.74
TMEM201,9.01
PIK3CD,8.75
NMNAT1,6.99
RBP7,6.91
UBE4B,12.3
KIF1B,10.25
PGD,10.21
APITD1-CORT; CORT; APITD1,8.37
PEX14,9.48
TARDBP,14.3
ANGPTL7,5.42
UBIAD1,12.66
PTCHD2,5.46
FBXO44,8.78
FBXO6,6.83
DRAXIN,5.6
AGTRAP,8.7
C1orf167,5.41
PLOD1,11.82
MFN2,10.42
MIIP,8.12
MIIP,6.28
TNFRSF8,6.81
TNFRSF1B; MIR4632; MIR7846,6.02
VPS13D,7.46
AADACL4,3.86
AADACL3,5.6
C1orf158,3.77
C1orf158,4.52
PRAMEF12,6.11
PRAMEF1,3.29
PRAMEF2,4.38
PRAMEF7; PRAMEF8,4.44
PRAMEF9,5.24
PRAMEF5,6.72
PRAMEF16; PRAMEF17,4.86
PRAMEF20,4.3
PDPN,5.39
PRDM2,9.78
KAZN,5.45
TMEM51,10.62
EFHD2,8.95
CTRC,4.61
DNAJC16,10.36
RSC1A1; DDI2,10.95
PLEKHM2,9.74
SLC25A34,9.81
TMEM82,4.82
FBLIM1,7.35
SPEN,12.02
C1orf64,5.74
CLCNKB,4.4
NECAP2,10.86
FAM231B,5.37
FAM231C; FAM231A,7.22
CROCC,9.16
PADI1,6.42
PADI3,12.44
PADI4,5.03
PADI6,5.5
ARHGEF10L,5.65
ACTL8,4.52
IGSF21,6.35
KLHDC7A,4.35
PAX7,5.23
MRTO4,9.85
PQLC2,10.3
HTR6,3.61
OTUD3,8.69
PLA2G5,7.89
PLA2G2F,6.34
UBXN10,4.96
VWA5B1,5.59
FAM43B,5.31
CDA,4.57
PINK1; MIR6084,5.98
NBPF3,8.28
ALPL,3.57
LDLRAD2,8.0
HSPG2,5.97
CELA3B,5.91
CELA3A,4.4
CDC42,14.59
ZBTB40,9.19
EPHA8,4.31
C1QA,4.93
C1QC,6.13
C1QB,5.27
EPHB2,10.18
KDM1A; MIR3115,12.46
KDM1A,6.03
ZNF436-AS1,6.42
RPL11,14.94
TCEB3,8.89
PITHD1,10.4
LYPLA2,12.64
PNRC2,14.18
GRHL3,5.84
NIPAL3,8.29
RCAN3,10.05
NCMAP,7.52
CLIC4,13.71
RHD,4.4
TMEM50A,14.21
TMEM57,10.52
LDLRAP1,9.3
MAN1C1,3.83
EXTL1,4.93
PDIK1L,8.82
FAM110D,3.96
ZNF593,6.24
CNKSR1,5.0
CATSPER4,4.76
CEP85,8.61
SH3BGRL3,14.17
CD52,6.15
LIN28A,5.93
DHDDS,12.31
HMGN2,14.8
RPS6KA1,6.79
RPS6KA1,5.94
ARID1A,11.71
PIGV,6.19
ZDHHC18,11.07
SFN,9.22
NUDC,11.4
TRNP1,9.87
WDTC1,10.47
TMEM222,8.62
SYTL1,5.8
GPR3,8.59
WASF2,3.37
FAM76A,8.38
STX12,12.46
PPP1R8,10.37
THEMIS2,4.27
SMPDL3B,8.77
XKR8,8.36
ATPIF1,12.05
SESN2,7.24
MED18,8.31
PHACTR4,11.49
