gene,value
OR4F5,6.24
SAMD11,7.06
KLHL17,7.02
PLEKHN1,6.13
ISG15,6.3
AGRN,9.4
LINC01342,5.21
TTLL10,7.48
B3GALT6,7.68
SCNN1D,4.82
PUSL1,6.98
CPTP,7.3
TAS1R3,4.54
TMEM88B,4.79
VWA1,6.85
ATAD3C,4.11
MIB2,6.33
CALML6,5.79
GABRD,4.42
PRKCZ,9.07
SKI,6.53
SKI; kerlabu,4.86
RER1,10.37
FAM213B,10.77
ACTRT2,5.81
PRDM16,5.92
ARHGEF16,6.27
TPRG1L,11.59
TP73,6.05
CCDC27,5.3
SMIM1,7.16
DFFB,6.05
AJAP1,3.79
KCNAB2,9.1
RNF207,7.11
LINC00337,8.27
HES3,4.85
ESPN,9.14
TAS1R1,5.22
ZBTB48,4.11
PHF13,9.48
THAP3,5.19
CAMTA1,12.89
VAMP3,13.61
PER3,10.51
PARK7,14.5
SLC45A1,3.93
ENO1,11.86
CA6,4.35
H6PD,7.02
SPSB1,10.56
SLC25A33,9.69
TMEM201,9.08
PIK3CD,8.8
NMNAT1,6.69
RBP7,5.94
UBE4B,12.55
KIF1B,10.39
PGD,10.53
APITD1-CORT; CORT; APITD1,8.45
PEX14,9.56
TARDBP,14.4
ANGPTL7,5.71
UBIAD1,12.33
PTCHD2,5.76
FBXO44,8.65
FBXO6,6.6
DRAXIN,5.91
AGTRAP,9.18
C1orf167,5.42
PLOD1,12.33
MFN2,10.95
MIIP,8.08
MIIP,6.32
TNFRSF8,7.06
TNFRSF1B; MIR4632; MIR7846,5.88
VPS13D,7.77
AADACL4,4.23
AADACL3,5.67
C1orf158,3.61
C1orf158,4.85
PRAMEF12,5.64
PRAMEF1,3.4
PRAMEF2,4.44
PRAMEF7; PRAMEF8,4.87
PRAMEF9,5.52
PRAMEF5,6.42
PRAMEF16; PRAMEF17,4.24
PRAMEF20,3.91
PDPN,4.63
PRDM2,9.82
KAZN,6.1
TMEM51,10.15
EFHD2,8.85
CTRC,4.81
DNAJC16,10.74
RSC1A1; DDI2,10.88
PLEKHM2,9.99
SLC25A34,9.86
TMEM82,5.04
FBLIM1,7.36
SPEN,12.03
C1orf64,5.71
CLCNKB,4.94
NECAP2,10.78
FAM231B,5.22
FAM231C; FAM231A,7.4
CROCC,9.1
PADI1,6.56
PADI3,10.54
PADI4,4.97
PADI6,5.21
ARHGEF10L,5.83
ACTL8,4.69
IGSF21,6.93
KLHDC7A,4.76
PAX7,5.12
MRTO4,9.87
PQLC2,10.3
HTR6,3.57
OTUD3,8.5
PLA2G5,7.46
PLA2G2F,6.34
UBXN10,4.69
VWA5B1,5.56
FAM43B,5.2
CDA,6.69
PINK1; MIR6084,7.09
NBPF3,8.75
ALPL,3.67
LDLRAD2,7.81
HSPG2,5.58
CELA3B,6.12
CELA3A,4.71
CDC42,14.95
ZBTB40,9.76
EPHA8,4.69
C1QA,4.79
C1QC,6.38
C1QB,5.47
EPHB2,9.88
KDM1A; MIR3115,12.38
KDM1A,5.8
ZNF436-AS1,6.74
RPL11,15.1
TCEB3,8.33
PITHD1,10.66
LYPLA2,12.59
PNRC2,13.79
GRHL3,5.61
NIPAL3,7.05
RCAN3,9.69
NCMAP,6.12
CLIC4,14.06
RHD,4.31
TMEM50A,14.29
TMEM57,10.67
LDLRAP1,9.41
MAN1C1,4.13
EXTL1,4.88
PDIK1L,8.49
FAM110D,3.95
ZNF593,6.13
CNKSR1,4.77
CATSPER4,4.41
CEP85,7.93
SH3BGRL3,14.09
CD52,6.23
LIN28A,6.62
DHDDS,12.71
