reaction,FC,p,q,enrichment,changed
10FTHF5GLUtl,1.0,0.0,0.0,1,1
10FTHF5GLUtm,1.0,0.0,0.0,1,1
10FTHFtl,-1.0,0.0,0.0,-1,1
10FTHFtm,0.2175844191105254,5.205457009939086e-12,5.981295516959211e-12,0,0
12DHCHOLabc,-0.5540926169310709,3.0940781182944927e-138,5.473400206161266e-138,0,0
12DHCHOLt2,-0.5540926169308601,3.0940781182944927e-138,5.473400206161266e-138,0,0
12PPDRte,1.0,8.2e-322,1.82e-321,1,1
24_25DHVITD2t,-1.0,0.0,0.0,-1,1
24_25DHVITD2tm,-1.0,0.0,0.0,-1,1
24_25DHVITD3t,-1.0,0.0,0.0,-1,1
24_25DHVITD3tm,-1.0,0.0,0.0,-1,1
24_25VITD2Hm,-1.0,0.0,0.0,-1,1
24_25VITD3Hm,-1.0,0.0,0.0,-1,1
25HVITD2tin_m,-1.0,0.0,0.0,-1,1
25HVITD3tin_m,-1.0,0.0,0.0,-1,1
2H3MVc,0.0,1.0,1.0,0,0
2HATVACIDGLUChr,-0.11909066014998976,5.194801845515002e-08,5.757424872008371e-08,0,0
2HATVACIDGLUCitr,-0.11909066014998938,5.194801845515002e-08,5.757424872008371e-08,0,0
2HATVACIDGLUCteb,-0.11909066014998675,5.194801845515002e-08,5.757424872008371e-08,0,0
2HATVACIDitr,0.1190906601500904,5.194801845515002e-08,5.757424872008371e-08,0,0
2HATVACIDteb,-0.681036937216691,2.4405826232998913e-255,5.008461822275497e-255,0,0
2HATVACIDtep,-0.8734770534035554,0.0,0.0,-1,1
2HATVACIDthc,-1.0,0.0,0.0,-1,1
2HATVLACGLUChr,-0.06711744123615322,0.01960232095219542,0.02036998925906646,0,0
2HATVLACGLUCitr,-0.06711744123614118,0.01960232095219542,0.02036998925906646,0,0
2HATVLACGLUCteb,-0.06711744123615304,0.01960232095219542,0.02036998925906646,0,0
2HATVLACOXDhc,-0.06711744123615217,0.01960232095219542,0.02036998925906646,0,0
2HATVLACteb,-0.2053572018806184,3.4297459018708595e-16,4.070036478455175e-16,0,0
2HATVLACtep,0.2053572018804428,3.4297459018708595e-16,4.070036478455175e-16,0,0
2HBO,0.0,1.0,1.0,0,0
2HIVc,0.0,1.0,1.0,0,0
2PGtr,0.4117587611051247,0.0,0.0,0,0
34DHALDD,1.0,0.0,0.0,1,1
34DHPHAte,1.0,0.0,0.0,1,1
34DHPHELAT1tc,0.2806303378098445,0.0,0.0,0,0
34DHPHEt,-1.0,0.0,0.0,-1,1
3DHCDCHOLabc,0.7479574292514584,7.244723226071667e-282,1.540769655349072e-281,0,0
3DHCDCHOLt2,0.747957429251453,7.244723226071667e-282,1.540769655349072e-281,0,0
3DHCHOLabc,0.03825663714694319,7.335921717149848e-05,7.782693332652697e-05,0,0
3DHCHOLt2,0.03825663714694561,7.335921717149848e-05,7.782693332652697e-05,0,0
3DHDCAabc,0.1480005109175403,1.1157313408241001e-33,1.4458256216698446e-33,0,0
3DHDCAt2,0.14800051091752814,1.1157313408241001e-33,1.4458256216698446e-33,0,0
3DHLCAabc,-0.46507538858966097,6.683182560861083e-116,1.1313814988045247e-115,0,0
3DHLCAt2,-0.4650753885896643,6.683182560861083e-116,1.1313814988045247e-115,0,0
3HCO3_NAt,-0.1224865884383107,0.0,0.0,0,0
3HLYTCL,-0.22425882061424932,3.6339369843938636e-35,4.741363178037048e-35,0,0
3HPPt,-0.14150999151191046,1.5818384838992494e-101,2.5278399301527223e-101,0,0
3HPPtm,0.14150999151193003,1.5818384838992494e-101,2.5278399301527223e-101,0,0
