subsystem,reaction
"Transport, mitochondrial",24_25DHVITD3tm
"Transport, extracellular",25HVITD3t
"Transport, lysosomal",COAtl
Extracellular exchange,EX_5adtststerone_e
Extracellular exchange,EX_5adtststerones_e
Extracellular exchange,EX_5fthf_e
Extracellular exchange,EX_5htrp_e
Extracellular exchange,EX_5mthf_e
Extracellular exchange,EX_5thf_e
Extracellular exchange,EX_6dhf_e
Vitamin D metabolism,24_25VITD3Hm
"Transport, extracellular",24NPHte
"Transport, lysosomal",10FTHF7GLUtl
"Transport, mitochondrial",10FTHFtm
"Transport, endoplasmic reticular",11DOCRTSLtr
Beta-Alanine metabolism,13DAMPPOX
"Transport, extracellular",24_25DHVITD2t
"Transport, mitochondrial",24_25DHVITD2tm
"Transport, extracellular",24_25DHVITD3t
Vitamin D metabolism,25VITD2Hm
"Glycine, serine, alanine, and threonine metabolism",2AMACHYD
Methionine and cysteine metabolism,2AMACSULT
Lysine metabolism,2AMADPTm
"Transport, extracellular",2MCITt
Lysine metabolism,2OXOADOXm
Tryptophan metabolism,2OXOADPTm
"Transport, extracellular",34DHPHEt
Tyrosine metabolism,34DHXMANDACOX
Ubiquinone synthesis,34HPLFM
"Transport, mitochondrial",3AIBtm
Tryptophan metabolism,3HAO
"Transport, mitochondrial",3MOBt2im
"Transport, mitochondrial",3MOPt2im
Tyrosine metabolism,3MOXTYROX
Taurine and hypotaurine metabolism,3SALAOX
Tyrosine metabolism,42A12BOOX
Ubiquinone synthesis,4HBZCOAFm
Ubiquinone synthesis,4HBZFm
"Transport, extracellular",4HDEBRISOQUINEte
Tyrosine metabolism,4HOXPACDOX_NADP
"Transport, mitochondrial",4MOPt2im
"Transport, extracellular",4MPTNLte
Cytochrome metabolism,4NPHSULT
"Transport, extracellular",4PYRDX
"Transport, endoplasmic reticular",5ADTSTSTERONEGLCtr
Steroid metabolism,5ADTSTSTERONESULT
"Transport, extracellular",5ADTSTSTERONEte
"Transport, extracellular",5FTHFt2_1
Tryptophan metabolism,5HOXINOXDA
"Transport, lysosomal",5THFtl
"Transport, mitochondrial",5THFtm
"Transport, endoplasmic reticular",7DHCHSTEROLtr
"Transport, mitochondrial",7DHFtm
Sphingolipid metabolism,A4GALTc
Sphingolipid metabolism,A4GALTg
O-glycan metabolism,A4GNT2g
"Transport, mitochondrial",AACTtm
Blood group synthesis,ABO1g
Blood group synthesis,ABO4g
Blood group synthesis,ABO5g
Blood group synthesis,ABO6g
Blood group synthesis,ABO7g
Blood group synthesis,ABO9g
Glutamate metabolism,ABTArm
"Transport, extracellular",ABTt
"Transport, lysosomal",ABUTt2rL
"Valine, leucine, and isoleucine metabolism",ACACT10m
Fatty acid oxidation,ACACT5p
Fatty acid oxidation,ACACT8p
Fatty acid oxidation,ACACT9p
"Transport, endoplasmic reticular",ACALDtr
"Transport, peroxisomal",ACALDtx
Propanoate metabolism,ACCOALm
"Transport, endoplasmic reticular",ACCOAtr
"Transport, extracellular",ACETONEt2
